#      time    totEnergy    potEnergy   kinEneryFl  kinEnergyWa    tempFluid     tempWall
  490.00000   0.4061E+04  -0.2037E+04   0.3399E+04   0.2699E+04   0.1522E+01   0.1500E+01
  495.00000   0.4102E+04  -0.1904E+04   0.3306E+04   0.2699E+04   0.1480E+01   0.1500E+01
  500.00000   0.3959E+04  -0.2061E+04   0.3321E+04   0.2699E+04   0.1487E+01   0.1500E+01
  505.00000   0.3950E+04  -0.2053E+04   0.3304E+04   0.2699E+04   0.1479E+01   0.1500E+01
  510.00000   0.4092E+04  -0.1986E+04   0.3378E+04   0.2699E+04   0.1513E+01   0.1500E+01
  515.00000   0.4046E+04  -0.1991E+04   0.3338E+04   0.2699E+04   0.1494E+01   0.1500E+01
  520.00000   0.4118E+04  -0.1868E+04   0.3286E+04   0.2699E+04   0.1471E+01   0.1500E+01
  525.00000   0.3971E+04  -0.2011E+04   0.3283E+04   0.2699E+04   0.1470E+01   0.1500E+01
  530.00000   0.4148E+04  -0.1980E+04   0.3428E+04   0.2699E+04   0.1535E+01   0.1500E+01
  535.00000   0.4025E+04  -0.2051E+04   0.3377E+04   0.2699E+04   0.1512E+01   0.1500E+01
  540.00000   0.3966E+04  -0.2042E+04   0.3309E+04   0.2699E+04   0.1482E+01   0.1500E+01
  545.00000   0.4047E+04  -0.2005E+04   0.3353E+04   0.2699E+04   0.1501E+01   0.1500E+01
  550.00000   0.3986E+04  -0.1909E+04   0.3196E+04   0.2699E+04   0.1431E+01   0.1500E+01
  555.00000   0.4066E+04  -0.1980E+04   0.3347E+04   0.2699E+04   0.1498E+01   0.1500E+01
  560.00000   0.4042E+04  -0.1967E+04   0.3310E+04   0.2699E+04   0.1482E+01   0.1500E+01
  565.00000   0.3999E+04  -0.2024E+04   0.3323E+04   0.2699E+04   0.1488E+01   0.1500E+01
  570.00000   0.4144E+04  -0.1975E+04   0.3420E+04   0.2699E+04   0.1531E+01   0.1500E+01
  575.00000   0.4235E+04  -0.1919E+04   0.3455E+04   0.2699E+04   0.1547E+01   0.1500E+01
  580.00000   0.4089E+04  -0.2088E+04   0.3477E+04   0.2699E+04   0.1557E+01   0.1500E+01
  585.00000   0.4085E+04  -0.2054E+04   0.3440E+04   0.2699E+04   0.1540E+01   0.1500E+01
  590.00000   0.4110E+04  -0.1985E+04   0.3395E+04   0.2699E+04   0.1520E+01   0.1500E+01
  595.00000   0.4120E+04  -0.1887E+04   0.3307E+04   0.2699E+04   0.1481E+01   0.1500E+01
  600.00000   0.4149E+04  -0.1901E+04   0.3351E+04   0.2699E+04   0.1500E+01   0.1500E+01
  605.00000   0.4182E+04  -0.1959E+04   0.3442E+04   0.2699E+04   0.1541E+01   0.1500E+01
  610.00000   0.4150E+04  -0.1964E+04   0.3414E+04   0.2699E+04   0.1529E+01   0.1500E+01
  615.00000   0.4199E+04  -0.1964E+04   0.3464E+04   0.2699E+04   0.1551E+01   0.1500E+01
  620.00000   0.4324E+04  -0.1872E+04   0.3497E+04   0.2699E+04   0.1566E+01   0.1500E+01
  625.00000   0.4243E+04  -0.1895E+04   0.3438E+04   0.2699E+04   0.1539E+01   0.1500E+01
  630.00000   0.4187E+04  -0.1875E+04   0.3363E+04   0.2699E+04   0.1506E+01   0.1500E+01
  635.00000   0.4276E+04  -0.1888E+04   0.3465E+04   0.2699E+04   0.1551E+01   0.1500E+01
  640.00000   0.4112E+04  -0.2058E+04   0.3471E+04   0.2699E+04   0.1554E+01   0.1500E+01
  645.00000   0.4221E+04  -0.1930E+04   0.3452E+04   0.2699E+04   0.1546E+01   0.1500E+01
  650.00000   0.4236E+04  -0.1870E+04   0.3406E+04   0.2699E+04   0.1525E+01   0.1500E+01
  655.00000   0.4176E+04  -0.1931E+04   0.3408E+04   0.2699E+04   0.1526E+01   0.1500E+01
  660.00000   0.4145E+04  -0.1971E+04   0.3417E+04   0.2699E+04   0.1530E+01   0.1500E+01
  665.00000   0.4169E+04  -0.1809E+04   0.3278E+04   0.2699E+04   0.1468E+01   0.1500E+01
  670.00000   0.4151E+04  -0.1852E+04   0.3303E+04   0.2699E+04   0.1479E+01   0.1500E+01
  675.00000   0.4131E+04  -0.1917E+04   0.3348E+04   0.2699E+04   0.1499E+01   0.1500E+01
  680.00000   0.4083E+04  -0.1982E+04   0.3366E+04   0.2699E+04   0.1507E+01   0.1500E+01
  685.00000   0.4054E+04  -0.1886E+04   0.3240E+04   0.2699E+04   0.1451E+01   0.1500E+01
  690.00000   0.4060E+04  -0.1926E+04   0.3287E+04   0.2699E+04   0.1471E+01   0.1500E+01
  695.00000   0.4023E+04  -0.2016E+04   0.3340E+04   0.2699E+04   0.1495E+01   0.1500E+01
  700.00000   0.4155E+04  -0.1905E+04   0.3361E+04   0.2699E+04   0.1505E+01   0.1500E+01
  705.00000   0.4100E+04  -0.1922E+04   0.3323E+04   0.2699E+04   0.1488E+01   0.1500E+01
